,nom_rue_co,numeros,points,geometry
0,Boulevard de la Citadelle,"11,5",2,"LINESTRING (6.830839289583338 47.10827962376056, 6.8310431531583085 47.108651017552894)"
1,Fleur de lys,,1,"LINESTRING (6.830340478201258 47.10262157686031, 6.83054047820126 47.1028215768603)"
2,Grand Rue,"58,51,48,29,28,135,18,6,5",9,"LINESTRING (6.826010216100796 47.10045468436583, 6.831397725572692 47.103479429408495)"
3,Place Hotel de Ville,"5,6",2,"LINESTRING (6.832207055356989 47.10338001623649, 6.832366663629335 47.10345170964172)"
4,Place Neuve,"10,8,2,2",4,"LINESTRING (6.830722439907393 47.10362009430316, 6.831673565792154 47.104053133172904)"
5,Place du Temple,"2,",2,"LINESTRING (6.8333078196765396 47.10402366257313, 6.833582183490379 47.10423602548418)"
6,Rue Dufour,"2,8",2,"LINESTRING (6.836157725966996 47.10079782491869, 6.836855661692365 47.100452044871126)"
7,Rue Fritz Courvoisier,"6,12",2,"LINESTRING (6.83310727471619 47.103544193892, 6.8336351590306785 47.10361244904095)"
8,Rue Jaquet-Droz,"29,128",2,"LINESTRING (6.825719566008248 47.09891937234305, 6.829244590576367 47.101090026902966)"
9,Rue Léopold Robert,"28,28,29,29,27,18,14,12,13,13,8,6,6,5,5,5",16,"LINESTRING (6.828552739608766 47.10199261091055, 6.831373881075885 47.10360018178484)"
10,Rue Robert,"16,5,169,5,5",5,"LINESTRING (6.829869383563521 47.10564564938304, 6.8310138858765725 47.10453397769938)"
11,Rue St. Pierre,14,1,"LINESTRING (6.829915579400062 47.10374899642891, 6.8301155794000605 47.10394899642888)"
12,Rue Versoix,"2,8,1",3,"LINESTRING (6.83067720204874 47.10611827824745, 6.831031890055749 47.10525730736588)"
13,Rue de Gibraltar,"6,45,8,47",4,"LINESTRING (6.8354806592795505 47.10040497568135, 6.835788068478483 47.09992739474079)"
14,Rue de l'Arsenal,"10,10",2,"LINESTRING (6.830304488392043 47.10190772777262, 6.830360706021551 47.101885413376785)"
15,Rue de l'Envers,"34,28",2,"LINESTRING (6.82891672538956 47.10038565244372, 6.829377850429261 47.100681263885235)"
16,Rue de l'Hopital,4,1,"LINESTRING (6.827746626410961 47.10200153401714, 6.827509545014886 47.102181654013165)"
17,Rue de l'Industrie,"1,62,64,65",4,"LINESTRING (6.830999785844244 47.10568275926038, 6.833025392237078 47.10682449819729)"
18,Rue de la Balance,"38,25,9,9,10,183,8,3,2",9,"LINESTRING (6.83114660184341 47.10494546473219, 6.832268429119846 47.10368224043184)"
19,Rue de la Chapelle,"3,86",2,"LINESTRING (6.833895309408183 47.102461424975374, 6.83412367401818 47.10257021747515)"
20,Rue de la Charrière,3,1,"LINESTRING (6.830822330345765 47.10719580388127, 6.830920537556916 47.10742850576622)"
21,Rue de la Citadelle,209,1,"LINESTRING (6.829666847632619 47.10707290113714, 6.829866847632621 47.1072729011371)"
22,Rue de la Combe,"5,8,7,17,16,25,30,24,25,27,40,33,38,41,41,45,47,46,50,60,54,57,63,63,63,71,74",27,"LINESTRING (6.8332214025682125 47.10289671174806, 6.8368739226409225 47.098114350609315)"
23,Rue de la Cure,"6,7,7",3,"LINESTRING (6.832458354258225 47.10412010954743, 6.833113595273821 47.1045023717724)"
24,Rue de la Demoiselle,"18,15,10,9,2",5,"LINESTRING (6.829009591830407 47.105555402678945, 6.830487998287248 47.10656910265688)"
25,Rue de la Grognerie,"15,10,205",3,"LINESTRING (6.828575771441799 47.10621551774039, 6.829880889615128 47.107007576477415)"
26,Rue de la Place d'Armes,"2,4,4,4,20",5,"LINESTRING (6.834327201655961 47.103365985721815, 6.836444122485587 47.10175183738141)"
27,Rue de la Promenade,"48,46",2,"LINESTRING (6.832616177928177 47.10171282718703, 6.833069263642651 47.10127024155492)"
28,Rue de la Ronde,"3,20,29,28,37",5,"LINESTRING (6.832441984016215 47.10444391767363, 6.8352429908681644 47.106075691977104)"
29,Rue de la Serre,"30,121,8,2",4,"LINESTRING (6.827159030851482 47.10214002271397, 6.830461875803331 47.10431777434004)"
30,Rue des Arts,17,1,"LINESTRING (6.826524820141265 47.099574939160924, 6.826724820141259 47.0997749391609)"
31,Rue des Cornes-Morel,"24,26",2,"LINESTRING (6.8363757366472715 47.104856344925224, 6.836717530196078 47.10513010433403)"
32,Rue des Granges,102,1,"LINESTRING (6.833539816115944 47.103089066494, 6.833841314416448 47.103216615004996)"
33,Rue des Juifs,"2,4,4",3,"LINESTRING (6.8333092465031084 47.10362269585589, 6.833632224425685 47.10367389093536)"
34,Rue des Terreaux,"1,1,4,8,12,12",6,"LINESTRING (6.831662994764428 47.10679606629305, 6.830683851923519 47.10621527224347)"
35,Rue du Collège,"7,13,19,25,31",5,"LINESTRING (6.832267063514586 47.10504461152759, 6.835592494851892 47.1070023968662)"
36,Rue du Grenier,"24,24,73,10,65,7,2",7,"LINESTRING (6.831405237342701 47.101451767182326, 6.832093279247544 47.10316649715559)"
37,Rue du Jet-Eau,85,1,"LINESTRING (6.826180341593281 47.10303346987746, 6.826464659187337 47.10317824905012)"
38,Rue du Parc,"12,12,,5,1",5,"LINESTRING (6.826947151736613 47.10273754986727, 6.8300341307706915 47.104648844115275)"
39,Rue du Pont,3,1,"LINESTRING (6.833838698332617 47.10472474662049, 6.834092967461062 47.10489358676755)"
40,Rue du Pré,127,1,"LINESTRING (6.828907383975366 47.10481006173804, 6.82910738397537 47.10501006173799)"
41,Rue du Puits,"50,17,17,18",4,"LINESTRING (6.831518745297777 47.10527906045223, 6.833483053393973 47.10644484595898)"
42,Rue du Soleil,"3,17",2,"LINESTRING (6.831293565294753 47.10551669059198, 6.832400454868312 47.10615119697232)"
43,Rue du Stand,"27,27,20,14,172,5,5,5,5",9,"LINESTRING (6.82939969553001 47.10534831648008, 6.831775705585615 47.10338569451544)"
44,Usine à gaz,51,1,"LINESTRING (6.834613447292504 47.1065772162257, 6.834813447292501 47.1067772162257)"
