"pk_ville_origine","nom_ville","region","province","long","lat","nom_mention","valée"
1,Drezzo,Lombardia,Como,45.8168,8.9999,Drecio,
2,Borgosesia,Piemonte,Vercelli,45.7186,8.2768,,
3,Casella,Liguria,Genova,44.5367,8.9992,,
4,Bluses,Savoie,,,,,
6,Cluses,Haute-Savoie,Auvergne-Rhône-Alpes,46.0668,6.5997,,
7,Sostegno,Piemonte,Biella,45.6534,8.2686,,
9,Rimasco,Piemonte,Vercelli,45.8675,8.066,,
12,Parone,Piemonte,Varallo,45.7934,8.2566,,
17,Farmaco,"","","","","",
19,Foresto,Piemonte,Bussoleno,45.1428,7.1212,,
20,Clusone,Lombardia,Bergamo,45.891,9.9495,,
22,Monza,Lombardia,Monza,45.5843,9.2738,,
23,Arola,Piemonte,Verbano-Cusio-Ossola,45.8087,8.3565,,
26,Grignasco,Piemonte,Novara,45.6841,8.3345,,
27,Varzo,Piemonte,Verbano-Cusio-Ossola,46.2093,8.2521,,Val Divedro
28,Bobbio,Emiglia-Romagna,Piacenza,44.7525,9.4124,Villard Bobbio,Val Trebbia
29,Albogno,Piemonte,Verbano-Cusio-Ossola,46.1396,8.4209,,Val Vigezzo
30,Valprato Soana,Piemonte,Torino,45.5203,7.5493,Val prato,Val Soana
32,Challonges,Haute-Savoie,Auvergne-Rhône-Alpes,46.0168,5.8334,,
33,Cranves Sales,Haute-Savoie,Auvergne-Rhône-Alpes,46.1834,6.3003,Cranves,
34,Valgrisenche,Valle d'Aosta,"",45.6304,7.0656,,
39,Beaumont,Haute-Savoie,Auvergne-Rhône-Alpes,46.1001,6.117,,
40,Nangy,Haute-Savoie,Auvergne-Rhône-Alpes,46.1501,6.3003,,
42,Maggiora,Piemonte,Novara,45.6841,8.4334,,
44,Habère-Poche,Haute-Savoie,Auvergne-Rhône-Alpes,46.2511,6.4723,,
45,Thonon-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,46.3671,6.4837,,
46,Alagna,Piemonte,Vercelli,45.8546,7.9362,,
47,Valbondione,Lombardia,Bergamo,46.038,10.0127,Bondione,
51,Cavandone,Piemonte,Verbano-Cusio-Ossola,45.9459,8.5178,,
59,Habère-Lullin,Haute-Savoie,Auvergne-Rhône-Alpes,46.2359,6.4531,,
60,Feningue,,,,,Faminge,
64,Archamps,Haute-Savoie,Auvergne-Rhône-Alpes,46.1349,6.1307,,
66,Auvemost,,,,,,
67,Velogny,Côté-d'Or,Bourgogne-Franche-Comté,47.4004,4.467,,
68,Évires,Haute-Savoie,Auvergne-Rhône-Alpes,46.0376,6.2244,,
70,Viuz-en-Sallaz,Haute-Savoie,Annemasse,46.1501,6.4164,,
76,Ville-la-Grand,Haute-Savoie,Auvergne-Rhône-Alpes,46.2,6.2502,,
77,Quarona,Piemonte,Vercelli,45.7589,8.2658,,
78,Milano,Lombardia,Milano,45.4688,9.1887,,
81,Brocioletta,,,,,,
86,Pralognan-la-Vanoise,Haute-Savoie,Auvergne-Rhône-Alpes,45.3837,6.7164,Praloguad,
88,Henry,,,,,,
93,Notre-Dame-du-Pré,Haute-Savoie,Auvergne-Rhône-Alpes,45.5167,6.5997,,
96,Conzano,Piemonte,Alessandria,45.0221,8.4554,,
97,Anzola d'Ossola,Piemonte,Verbano-Cusio-Ossola,45.9846,8.3345,Ossola,
98,Marpod,,,,,,
99,Douio,"","","","","",
100,Masserano,Piemonte,Biella,45.5996,8.2191,,
101,Asola,Lombardia,Mantova,45.2178,10.4164,,
103,Héricourt,Haute-Saône,Bourgogne-Franche-Comté,47.5793,6.7635,,
104,Veigy-Foncenex,Haute-Savoie,Auvergne-Rhône-Alpes,46.267,6.2502,,
105,Annemasse,Haute-Savoie,Auvergne-Rhône-Alpes,46.2,6.2502,,
106,Campertogno,Piemonte,Vercelli,45.801,8.0324,,
107,Jeresto,,,,,,
109,Vargo,Piemonte,Alessandria,44.7492,8.8838,,
110,Rully,Saône-et-Loire,Bourgogne-Franche-Comté,46.867,4.7499,,
111,Hezy sur Algine,"","","","","",
112,Loisin,Haute-Savoie,Auvergne-Rhône-Alpes,46.2929,6.3103,,
113,Bogève,Haute-Savoie,Auvergne-Rhône-Alpes,46.2217,6.434,,
114,Taninges,Haute-Savoie,Auvergne-Rhône-Alpes,46.1168,6.5997,,
115,Grénoble,Isère,Auvergne-Rhône-Alpes,45.5381,5.6868,,
118,Cimamulera,Piemonte,Verbano-Cusio-Ossola,46.0175,8.2665,,
119,Gaillard ,Haute-Savoie,Auvergne-Rhône-Alpes,46.1834,6.2165,,
120,Pavero,Piemonte,"",,,,
121,Lugrin,Haute-Savoie,Auvergne-Rhône-Alpes,46.4028,6.6646,,
122,Annecy,Haute-Savoie,Auvergne-Rhône-Alpes,45.8993,6.1293,,
124,Hargueva,,,,,,
125,Saint-Russo,,,,,,
126,Albert Pot,,,,,,
127,Argonay ,Haute-Savoie,Auvergne-Rhône-Alpes,45.9461,6.141,Agrion,
128,Saint-Cergues,Haute-Savoie,Auvergne-Rhône-Alpes,46.2338,6.3168,,
129,Migiandone,Piemonte,Verbano-Cusio-Ossola,45.9852,8.384,,
130,Entremont,Haute-Savoie,Auvergne-Rhône-Alpes,45.9504,6.3834,,
131,Varallo,Piemonte,Vercelli,45.8144,8.2576,,
132,Serravalle Scrivia,Piemonte,Alessandria,44.7243,8.8591,,
134,Neydens,Haute-Savoie,Auvergne-Rhône-Alpes,46.1168,6.0998,,
135,Mayland,,,,,,
136,Saint-Jean-d'Aulps,Haute-Savoie,Auvergne-Rhône-Alpes,46.2338,6.6498,,
137,Montescheno,Piemonte,Verbano-Cusio-Ossola,46.0685,8.2329,,
138,Vercelli,Piemonte,Vercelli,45.3261,8.4224,,
139,Rima San Giuseppe,Piemonte,Vercelli,45.8852,7.9994,,
140,Sulleni,,,,,,
141,Noége,Piemonte,"",,,,
142,Trasquera,Piemonte,Verbano-Cusio-Ossola,46.2131,8.2137,,Val Divedro
143,Saint-Huruge,Saône-et-Loire,Bourgogne-Franche-Comté,46.5836,4.5665,,
144,Aix-les-Bains,Savoie,Auvergne-Rhône-Alpes,45.7002,5.9165,Aix,
145,Carcoforo,Piemonte,Vercelli,45.9005,8.0489,,
146,Arvier,Valle d'Aosta,,45.7033,7.1672,,
147,Rossa,Piemonte,Vercelli,45.8565,8.123,,
148,Seytroux,Haute-Savoie,Auvergne-Rhône-Alpes,46.2504,6.6333,,
149,Vigevano,Lombardia,Pavia,45.3184,8.8673,,
150,Esserts-Blay,Haute-Savoie,Auvergne-Rhône-Alpes,45.6167,6.4335,Esserts,
152,Chambéry,Savoie,,45.565,5.9171,,
153,Magliano Alpi,Piemonte,Cuneo,44.4504,7.7989,,
154,Novara,Piemonte,Novara,45.4515,8.6201,,
155,Garlasco,Lombardia,Pavia,45.2004,8.9168,,
156,Alpette,Piemonte,Torino,45.4091,7.5792,,Val Soana
157,Domodossola,Piemonte,Verbano-Cusio-Ossola,46.118,8.2906,,
158,Crescentino,Piemonte,Vercelli,45.2062,8.1093,,
159,Rivarolo Canavese,Piemonte,Torino,45.3319,7.7165,Rivarolo,
160,Traversella,Piemonte,Torino,45.5169,7.7495,,Valchiusella
162,Torino,Piemonte,Torino,45.0803,7.6753,,
163,Viconago-Cadegliano,Lombardia,Varese,45.9674,8.8344,,
164,Ara ,Piemonte,Vercelli,45.6941,8.3232,,
165,Sarone,Friuli-Venzia-Giulia,Pordenone,45.9921,12.4627,,
166,Prestinari Osola,Piemonte,"",,,,
167,Aosta,Valle d'Aosta,"",45.7378,7.321,,
168,Albizzate ,Lombardia,Varese,45.7167,8.7987,,
170,Ronago,Lombardia,Como,45.8341,8.9834,,
171,Vintebbio,Piemonte,Vercelli,45.6673,8.3324,,
172,Pinerolo,Piemonte,Torino,44.888,7.332,,
173,Quarna Sopra ,Piemonte,Verbano-Cusio-Ossola,45.8757,8.373,,
174,Brusnengo,Piemonte,Biella,45.5996,8.2191,,
175,Cossato,Piemonte,Biella,45.5612,8.1862,,
176,Prato Sesia,Piemonte,Novara,45.6515,8.3839,Prato,
177,Cellio,Piemonte,Vercelli,45.7545,8.3126,,
178,Murisengo,Piemonte,Alessandria,45.0842,8.1367,,
179,Suna,Piemonte,Verbano-Cusio-Ossola,45.9239,8.5522,,
180,Fara Gera d'Adda,Lombardia,Bergamo,45.5516,9.532,Fara,
182,Cortemaggiore,Emiglia-Romagna,Piacenza,45.0007,9.933,,
184,Morca,Piemonte,Vercelli,45.8209,8.21071,,
185,Curate,,,,,,
186,Soriso,Piemonte,Novara,45.7417,8.4114,,
188,Asti,Piemonte,Asti,44.9016,8.2082,,
189,Curiglia ,Lombardia,Varese,46.0608,8.8042,,
190,Mesenzana,Lombardia,Varese,45.9502,8.7657,,
191,Vienne,Isère,Auvergne-Rhône-Alpes,45.5167,4.8666,,
192,Ruelle-Vergy,Côté-d'Or,Bourgogne-Franche-Comté,47.1869,4.897,,
194,Bonneville,Haute-Savoie,Auvergne-Rhône-Alpes,50.0766,2.2945,,
195,Roma,Lazio,,41.8931,12.4818,,
196,Gray,Haute-Saône,Bourgogne-Franche-Comté,47.4457,5.5934,,
197,Crasso,,,,,,
198,Juvigny,Haute-Savoie,Auvergne-Rhône-Alpes,46.215,6.2801,,
199,Craveggia,Piemonte,Verbano-Cusio-Ossola,46.1409,8.4864,Vocogno,
201,Buttogno,Piemonte,Verbano-Cusio-Ossola,46.1351,8.4663,,
203,Saint André,,,,,S. André,
204,Gozzano,Piemonte,Novara,45.7512,8.4334,,
206,Vadans,Haute-Saône,Bourgogne-Franche-Comté,47.3488,5.5876,,
208,Chamonix-Mont-Blanc,Savoie,,45.917,6.8668,,
209,Genova,Liguria,Genova,44.4073,8.9333,Genes,
210,Arona,Piemonte,Novara,45.757,8.5597,,
211,Lillon,,,,,,
212,Villard-Bonnot,Isère,Auvergne-Rhône-Alpes,45.2316,5.8815,Villard Bobbio,""
213,Villard,Haute-Savoie,Auvergne-Rhône-Alpes,46.2171,6.45,,
214,Curino,Piemonte,Biella,45.5996,8.2191,,
215,Masserano,Piemonte,Biella,45.5996,8.2191,"",
216,Napoli,Campania,,40.8377,14.2479,,
